,FD01_flux,FD01_flux_filled
0,,0.1172021713995386
1,,0.13018681545536825
2,,0.1204023370757073
3,,0.1140409729585414
4,,0.12399904328095024
5,,0.11999380070160823
6,,0.09839004675210035
7,,0.10566106630588322
8,,0.10941866019410544
9,,0.11001711594588322
10,,0.10953121135464249
11,,0.1099296080346425
12,,0.11159598822819802
13,,0.11251107098180914
14,,0.11189675313480126
15,,0.11243508050180125
16,,0.10906940779015936
17,,0.12304473493778616
18,,0.10996466274606402
19,,0.09376143564404499
20,,0.0774735947469829
21,,0.08691367022411811
22,,0.04839687339648982
23,,0.040903545297009146
24,,0.03876868010878691
25,,0.09127751978264771
26,,0.08321777455109479
27,,0.10788136430128956
28,,0.1081839569803902
29,,0.0956969591717466
30,,0.0986187974002835
31,,0.10009642142683334
32,,0.10321807192840232
33,,0.10633189894570462
34,,0.09794196277182558
35,,0.09376895055897139
36,,0.09884332905540216
37,,0.10049862818939297
38,,0.07831390541980571
39,,0.08966840409397232
40,,0.12668135299599606
41,,0.1273968050076175
42,,0.11301064027792217
43,,0.10505164140294058
44,,0.09604023078774018
45,,0.09340924474945003
46,,0.10350650492157334
47,,0.09345606497304439
48,,0.0829863416155569
49,,0.06377724416210706
50,,0.08620403946559439
51,,0.07422589891276815
52,,0.08281714877316874
53,,0.06277445819661859
54,,0.045545246449392174
55,,0.09110292339611385
56,,0.11092168983678324
57,,0.08159419419125737
58,,0.06276458073808994
59,,0.08947063879895337
60,,0.12445846220930189
61,,0.15333766245522515
62,,0.12954721779962092
63,,0.14456861739974713
64,,0.178658669458893
65,,0.18295745316790782
66,,0.19638618100274022
67,,0.14346472246054184
68,,0.13028275924512164
69,,0.11342159659038523
70,,0.08937815395285142
71,,0.07363723857910219
72,,0.011900088470126031
73,,0.03895190033594786
74,,0.07052930770367326
75,,0.1393365778555684
76,,0.1950701785589675
77,,0.18918161675427222
78,,0.19896488681084024
79,,0.19571256987342356
80,,0.19980072058884016
81,,0.19002728748280384
82,,0.11090277653698541
83,,0.10638014604541356
84,,0.07881713833401013
85,,0.023835687043694462
86,,0.0439587554774169
87,,0.006939772111982198
88,,0.00991780332158611
89,,-0.021219377225061734
90,,0.009965650996457444
91,,0.013363566118295174
92,,0.0248910447582365
93,,0.028882845839931774
94,,0.05882397349502591
95,,0.06359729127267323
96,,0.0618573447006058
97,,0.05908265585570497
98,,0.07318901795744308
99,,0.06620425088368735
100,,0.06502648149634221
101,,0.04586105497303022
102,,0.03148456274169664
103,,0.07008997636056702
104,,0.05414551506607716
105,,0.04958412014580722
106,,0.060995242917735365
107,,0.08028048800446022
108,,0.06178698603992449
109,,0.07284824058851813
110,,0.038677416005288165
111,,0.015601341985571398
112,,0.00903444572413919
113,,0.002920676948807222
114,,0.019956070042146473
115,,-0.005115463224980029
116,,-0.008266628452584834
117,,-0.03295373129038971
118,,-0.05708056256641521
119,,-0.042193497675367134
120,,-0.035444948308164734
121,,-0.06139572590648227
122,,-0.07162509428068264
123,,-0.09334851635075353
124,,-0.08237389047670793
125,,-0.07384963158520055
126,,-0.04240723691739963
127,,-0.04037147905970518
128,,-0.012964824954684918
129,,-0.004581384437968408
130,,0.016450766719568223
131,,-0.022249047212519083
132,,-0.022863588317362127
133,,-0.027210477748564083
134,,-0.03804983374240498
135,,-0.03305211838798867
136,,-0.03458683043733207
137,,-0.032601229338826795
138,,-0.03813213800108508
139,,-0.0347002702823073
140,,-0.02397282481036289
141,,-0.02442697790316624
142,,-0.04439247490146308
143,,-0.03663451526975997
144,,-0.030538547887785535
145,,-0.03359516452241683
146,,-0.029330194548396787
147,,-0.04450078771660049
148,,-0.03438704528198937
149,,-0.028145517638453552
150,,0.009834122876975021
151,,0.002247941336035623
152,,0.00018241621399914522
153,,0.0029665184859638456
154,,0.02683431953252666
155,,0.024192666717609997
156,,0.04658659458331902
157,,0.03143401665052738
158,,0.04359935396294936
159,,0.061364037678764166
160,,0.07773182819562582
161,,0.11528754465202894
162,,0.1398251658948655
163,,0.1654589633093091
164,,0.15916166083304192
165,,0.15476980290282763
166,,0.156405039492254
167,,0.16143843671677427
168,,0.1410986292198266
169,,0.10124364018424703
170,,0.10347841268659326
171,,0.0746911384258075
172,,0.05355744554045206
173,,0.016169616812244082
174,,-0.0030611002849320525
175,,-0.00503489442806517
176,,-0.003944711124247121
177,,-0.024967399586907052
178,,-0.038838515135506686
179,,-0.013612906692263654
180,,-0.004031624583950163
181,,0.0011444553891907182
182,,-0.010488261368562237
183,,0.004211539968214442
184,,-0.00814061932519716
185,,0.005406033674318369
186,,-0.00234687578455171
187,,-0.013014364288160468
188,,-0.016619520509657818
189,,-0.015461859451509404
190,,-0.017050672170942763
191,,-0.010974596301328297
192,,-0.008462833031118984
193,,-0.0037585455104977477
194,,-0.012861177917453826
195,,0.0034635356503055093
196,,0.00016595034895872893
197,,0.004377349365663905
198,,0.011201435692954427
199,,0.006541002554049667
200,,0.0020944704900258586
201,,0.011185796111920035
202,,0.009379098774158127
203,,0.019962394089811934
204,,0.031728512482320045
205,,-0.007364210694170045
206,,-0.026111097141211657
