,FD01_flux,FD01_flux_filled
0,,0.40874282838507187
1,,0.41126920117346205
2,,0.4022982308025311
3,,0.3858139269444757
4,,0.3612735580851987
5,,0.34887152471449057
6,,0.34633061668093573
7,,0.3629121597938927
8,,0.35533239284105905
9,,0.3649681929786191
10,,0.3740892064698287
11,,0.40272513682247213
12,,0.32733237319108893
13,,0.3172838147822994
14,,0.34237720442952785
15,,0.3937203001636851
16,,0.3741541748849233
17,,0.37914368659611997
18,,0.3734599861683837
19,,0.3738996717226457
20,,0.36377204901488946
21,,0.3329167386060142
22,,0.26384484636460037
23,,0.22576302922837768
24,,0.29449381268052677
25,,0.338587036211068
26,,0.39838453441319627
27,,0.4157910267234194
28,,0.3994449221211837
29,,0.37758705787040225
30,,0.3210221740525591
31,,0.2875700009137062
32,,0.2578403938646348
33,,0.23729722073137158
34,,0.24152355119115312
35,,0.23776829357698653
36,,0.23858003432861957
37,,0.24650444490604898
38,,0.2762076525419305
39,,0.2884910167422137
40,,0.25174007938417026
41,,0.2371693390155023
42,,0.21636460174838323
43,,0.20654634276163625
44,,0.22570996094330284
45,,0.26160980906568576
46,,0.34424449867566814
47,,0.3647187895914948
48,,0.3936126358451696
49,,0.3850717085520678
50,,0.363098361255726
51,,0.3508833155882286
52,,0.34116147390905005
53,,0.29759618310609864
54,,0.3096608835839636
55,,0.3159894008191142
56,,0.2812551123078646
57,,0.2501283104569121
58,,0.20280628216069302
59,,0.21773887882865955
60,,0.2297731310830639
61,,0.22379711936385546
62,,0.20325544256321657
63,,0.21247971346582448
64,,0.20518477686689593
65,,0.21039176485534833
66,,0.22119080930780854
67,,0.29955438051747696
68,,0.31297418305196106
69,,0.31425017005316747
70,,0.32151444057401923
71,,0.3576254099355392
72,,0.3668190507025074
73,,0.36536234861482875
74,,0.36562284353285973
75,,0.380992515004205
76,,0.3615711729930106
77,,0.34723869351120656
78,,0.33585860178968135
79,,0.3460990666352015
80,,0.3326232493636694
81,,0.3174886066323998
82,,0.36238635788733037
83,,0.3757373192813303
84,,0.38273216288112216
85,,0.3740353723514694
86,,0.3734819485280463
87,,0.35563817304742157
88,,0.2916246421530583
89,,0.24590953785027594
90,,0.18754038598364556
91,,0.19791511037433898
92,,0.2657012957424659
93,,0.336821822319077
94,,0.30659452802333304
95,,0.2818681117216666
96,,0.26371882104450994
97,,0.24981920345951011
98,,0.2258010479333198
99,,0.2199111710613753
100,,0.2325442574060123
101,,0.25741085031220257
102,,0.27181966207333347
103,,0.2622174557695099
104,,0.2590766461969282
105,,0.25532138858859504
106,,0.2635933998695098
107,,0.26261216359784306
108,,0.26261216359784306
109,,0.25739821573859484
110,,0.27271974347833344
111,,0.2602681473952615
112,,0.25242932377692834
113,,0.2583314968485949
114,,0.25279452073859504
115,,0.25567920782026166
116,,0.24747887610859504
117,,0.23988720599692845
118,,0.24402241600192837
119,,0.24616103152942845
120,,0.24687482558109516
121,,0.2673886846935715
122,,0.27304017980915574
123,,0.25599411526025456
124,,0.25830866884747666
125,,0.2592675260431432
126,,0.19149708002906218
127,,0.191499688605919
128,,0.20904494105885907
129,,0.20462930575649982
130,,0.24950848536724057
131,,0.2603668699530737
132,,0.3526834881679217
133,,0.3691422611185816
134,,0.2938195276569775
135,,0.23469597476049917
136,,0.29701965602928665
137,,0.294102809537647
138,,0.2931942437699802
139,,0.2848987263325099
140,,0.27526272419781206
141,,0.2993114777918909
142,,0.30196985578736063
143,,0.38369275177587103
144,,0.47677975143016044
145,,0.5062648852726849
146,,0.5106176389203463
147,,0.7851460737677219
148,,0.8029854124174898
149,,0.7226465976014305
150,,0.6929955556464307
151,,0.702361566534764
152,,0.671655511133098
153,,0.6538781979384897
154,,0.6125687608333407
155,,0.4641832281814843
156,,0.3333742657359278
157,,0.3280854369113764
158,,0.3192793101220453
159,,0.30989707081810497
160,,0.2860899130411579
161,,0.2773111329667032
162,,0.27775184034271927
163,,0.2748997354065143
164,,0.2810265717597895
165,,0.2791557040457356
166,,0.3153829037739301
167,,0.3098603610570994
168,,0.29837520654002825
169,,0.33472819013115657
170,,0.29611402750981825
171,,0.32763494064525134
172,,0.28700410242672303
173,,0.27749491992831415
174,,0.27424280937817724
175,,0.2635418139160226
176,,0.25859443900479734
177,,0.264362794189817
178,,0.2982175856948063
179,,0.29102337539784884
180,,0.2932786512511446
181,,0.30417868477667515
182,,0.295067205080842
183,,0.28993600336917535
184,,0.2827760526440642
185,,0.28725472170432614
186,,0.349453671131776
187,,0.3278566400525171
188,,0.3368927030413504
189,,0.35547937794256285
190,,0.25652029462154424
191,,0.28050630320849074
192,,0.3172234527868549
193,,0.3002249247205345
194,,0.3639486430760507
195,,0.3222827587838293
196,,0.3264726287242566
197,,0.33181409535092327
198,,0.32947658889397885
199,,0.3133867849767965
200,,0.30987130315012984
201,,0.31994340833306867
202,,0.33087850869425656
203,,0.33003642434731206
204,,0.3302780445625205
205,,0.33609537389477045
206,,0.3452514272772705
207,,0.39701723468492156
208,,0.39990962154441456
209,,0.3919410730946924
210,,0.40117852800141474
211,,0.35057990135697686
212,,0.316155671961555
213,,0.3080608064523971
214,,0.34488407484900885
215,,0.34633564052627974
216,,0.3443513019794924
217,,0.3478172038045964
218,,0.31336562821579517
219,,0.3335325104218187
220,,0.33682455284646146
221,,0.3155355990403782
222,,0.3148067860582354
223,,0.3193367038815686
224,,0.32284059215704486
225,,0.32434933515204484
226,,0.32484019920882273
227,,0.32713150710334643
228,,0.32387266439548934
229,,0.32017273965882276
230,,0.34184109252787015
231,,0.36186790348882253
232,,0.3726305346695228
233,,0.3389469197850131
234,,0.3399650446283465
235,,0.3415291204933464
236,,0.31947777735285643
237,,0.3252065740936897
238,,0.31472652806035634
239,,0.3082304488286898
240,,0.3059224532414676
241,,0.3074238185181343
242,,0.30953015653396754
243,,0.3102046905694436
244,,0.3020897295739675
245,,0.31126842844118957
246,,0.2730459146789678
247,,0.25667677610465317
248,,0.2614815138629863
249,,0.2787512722579863
250,,0.3212271565836515
251,,0.34736271669198454
252,,0.33784370601440494
253,,0.33482031785146843
254,,0.3229078530516667
255,,0.3313606141708824
256,,0.3313311033042158
257,,0.3243665390858825
258,,0.31686340157921583
