,FD02_flux,FD02_flux_filled
0,,0.7540653499518704
1,,0.7483091026697417
2,,0.8020258441916145
3,,0.7043651689866027
4,,0.6914727672338354
5,,0.6728314637448938
6,,0.7499915492551179
7,,0.914801604566982
8,,0.8050358338971751
9,,0.6653700621773768
10,,0.7107580439357767
11,,0.7209373499674281
12,,0.6893786482851467
13,,0.6063182323990733
14,,0.6420296030821848
15,,0.6743141111749168
16,,0.5965284558275367
17,,0.613886127274351
18,,0.5793567650947474
19,,0.5318889991380842
20,,0.4836549489509317
21,,0.4197881986160747
22,,0.5440709851297758
23,,0.5989059923966165
24,,0.6618660583632082
25,,0.7010693570509627
26,,0.7184511618756991
27,,0.6968584458983408
28,,0.7077668363871443
29,,0.5264957064316975
30,,0.4744508098733294
31,,0.4122168633310162
32,,0.2857350800569122
33,,0.3593114546076353
34,,0.5055022425904083
35,,0.49541154519472
36,,0.5815156841713758
37,,0.7818700036478536
38,,0.8094813850362916
39,,0.6475354838614393
40,,0.48243952018409664
41,,0.47419472870932355
42,,0.5844741925984761
43,,0.6072775092707182
44,,0.8444675748004283
45,,1.116743574711466
46,,1.1969038799319127
47,,1.2249891197361356
48,,1.1668175204524993
49,,1.0332736713658504
50,,1.225691538061918
51,,1.4434407181729894
52,,1.3382075377036997
53,,1.3443810591197256
54,,1.1623718350557821
55,,1.087105129441116
56,,0.9381295914911365
57,,0.8473505413703475
58,,1.0677041419474784
59,,0.8545777658704306
60,,0.7886781792114766
61,,0.7930754778319381
62,,0.9007270983336667
63,,0.9358129542070579
64,,0.9210177647413729
65,,0.7809348561939551
66,,0.6866619634726991
67,,0.6676753083270768
68,,0.6183549271899965
69,,0.6026097444628392
70,,0.5579467976992156
71,,0.5740948613836807
72,,0.5239126951234245
73,,0.5423790803642442
74,,0.5338638752766289
75,,0.4291276831875717
76,,0.45181227307508415
77,,0.3170429726700452
78,,0.3692023106212802
79,,0.41195185400841816
80,,0.38453993319214874
81,,0.3794960138382472
82,,0.42338103298900726
83,,0.47984112320573663
84,,0.42477597562390484
85,,0.45965070911843886
86,,0.49592623266416086
87,,0.46393813643030307
88,,0.4882521448487205
89,,0.4390847024060113
90,,0.4543546275842269
91,,0.41534502773364673
92,,0.39248279454405816
93,,0.37511015557960936
94,,0.34959538988764854
95,,0.30314349302114524
96,,0.3122378772067984
97,,0.2943200993251576
98,,0.28059420471846397
99,,0.2944758057586297
100,,0.3090803771415221
101,,0.301666443501001
102,,0.34698871002982284
103,,0.2870805142988217
104,,0.29256520631489147
105,,0.2919781241960256
106,,0.2837728174150634
107,,0.31664433842960865
108,,0.30269482209597454
109,,0.4033015069628502
110,,0.5039487533046668
111,,0.6652885095596969
112,,0.6950909352726308
113,,0.5667276738875051
114,,0.5113040418620418
115,,0.5564542352643103
116,,0.9540160885323116
117,,0.9834779837706996
118,,1.208574166960681
119,,1.4631108269915691
120,,1.6040789219525573
121,,1.4306276071677622
122,,1.3814816600266469
123,,1.0694014115972867
124,,0.8052913328026855
125,,0.6388228572235736
126,,0.7194746772257179
127,,0.5588871835949771
128,,0.5388355344085037
129,,0.5461336143663753
130,,0.5318336008835431
131,,0.558282244006407
132,,0.6872022300263316
133,,0.65408643819197
134,,0.6594214221230404
135,,0.6701441383558121
136,,0.652474480994919
137,,0.5918747646390667
138,,0.5460127863826374
139,,0.537645049803711
140,,0.5875952226323445
141,,0.5576057119112883
142,,0.5681483829746401
143,,0.500931901700512
144,,0.49804439260653405
145,,0.4864753668447887
146,,0.5182437163260076
147,,0.5443395644326353
148,,0.5732832382959863
149,,0.697378560976995
150,,0.701939985586394
151,,0.7217481044910103
152,,0.6840309821189732
153,,0.6274236257887822
154,,0.5955636847712747
155,,0.5742808701648096
156,,0.5329569399619392
157,,0.47623726472458444
158,,0.5629150122005053
159,,0.5204309083239675
160,,0.5441637450509691
161,,0.4098715931012603
162,,0.4185838604502034
163,,0.47099822023189497
164,,0.4485546329628496
165,,0.45780529422179855
166,,0.3647847811778401
167,,0.40181890446911006
168,,0.3668362073247624
169,,0.3659674326648824
170,,0.36854922965021886
171,,0.35173713200576423
172,,0.4051230923231896
173,,0.36732357674714405
174,,0.3537427435792811
175,,0.3308819497536836
176,,0.30489026747314196
177,,0.29277005912714715
178,,0.3138610397870956
179,,0.3439529909883969
180,,0.3619092763691944
181,,0.3628854574361279
182,,0.397940262238193
183,,0.4295079321258011
184,,0.4669223388863661
185,,0.4976644308295709
186,,0.5102395163270853
187,,0.551240939211368
188,,0.585850359866687
189,,0.5813769604411902
190,,0.6296038381020452
191,,0.6334386091426215
192,,0.6287855137127606
193,,0.6304537844201178
194,,0.627281141309426
195,,0.6401318538812524
196,,0.6490158348582028
197,,0.7458331849583688
198,,0.8263782401672732
199,,0.8634082882330683
200,,0.8780928672534769
201,,0.8773887141877978
202,,0.9188710774275113
203,,0.9381463442323295
204,,0.8646289427718078
205,,0.8702859147225466
206,,0.8154465234686333
207,,0.8068086563878489
208,,0.8156852486464744
209,,0.9325938350559394
210,,0.9167014931060432
211,,0.8910353257283694
212,,0.7692657504954181
213,,0.6689227553783916
214,,0.6402764987297828
215,,0.4589786792409648
216,,0.4864278846597046
217,,0.5012300101860204
218,,0.4798117229741641
219,,0.47812487153364586
220,,0.506265064342995
221,,0.47091629987634387
222,,0.5117619128895279
223,,0.490482016637735
224,,0.5284538694042749
225,,0.5064845125811793
226,,0.4878935574700733
227,,0.4764366903428477
228,,0.43789295107740345
229,,0.3814508476687486
230,,0.3823882377176651
231,,0.33851328215898346
232,,0.31107506227450427
233,,0.2711714547960286
