,FD03_flux,FD03_flux_filled
0,,0.14583159727914352
1,,0.12964373942763646
2,,0.12240871550072611
3,,0.11334211467642098
4,,0.10766338062018779
5,,0.10997380330016975
6,,0.10507029716232055
7,,0.10567664541187177
8,,0.1023200705631358
9,,0.10338618437080994
10,,0.10582404953159039
11,,0.12061321530069803
12,,0.10701257053216913
13,,0.1028078766097591
14,,0.10426799541393907
15,,0.09720181747120758
16,,0.08257504429769576
17,,0.07934552357946825
18,,0.08846618526673669
19,,0.08896463909040467
20,,0.08347448113484783
21,,0.08284450884253336
22,,0.0771499896455388
23,,0.07412003641695783
24,,0.0784353284309569
25,,0.07211742161284768
26,,0.07726299238926848
27,,0.07566684500506965
28,,0.08648457312382574
29,,0.09995431412673851
30,,0.1008295686238258
31,,0.0910278189495282
32,,0.08782814833144394
33,,0.09010507799161631
34,,0.09799513689069922
35,,0.09886413532160668
36,,0.09914516430925484
37,,0.10461863888957311
38,,0.0975064673425772
39,,0.10266041831567378
40,,0.09040491414502608
41,,0.08582340847711259
42,,0.07548214665031665
43,,0.07387529272392414
44,,0.08067957191223234
45,,0.10900756457123019
46,,0.11117558839950743
47,,0.1473009883238055
48,,0.13066299188299732
49,,0.11526535094816401
50,,0.1092628478587633
51,,0.10832771737612225
52,,0.09932319417995733
53,,0.09442596568732677
54,,0.0963348802081963
55,,0.0932593922241151
56,,0.09475895755859524
57,,0.08998631054329176
58,,0.0845473819439855
59,,0.0874448653097094
60,,0.08587497352786248
61,,0.09297546590889891
62,,0.08986419924066429
63,,0.09208582387216702
64,,0.08424933351599691
65,,0.0844888593709282
66,,0.08183380143476823
67,,0.08947562084514597
68,,0.08841185234237081
69,,0.08378684518956753
70,,0.08378813071096614
71,,0.09208039397380383
72,,0.09269876188221796
73,,0.09754774882534588
74,,0.10443995815551833
75,,0.12412856616396041
76,,0.12101918259477916
77,,0.13174556389456613
78,,0.10972692936842558
79,,0.10115111919237947
80,,0.08879097305083183
81,,0.09296309164912901
82,,0.09533760104270901
83,,0.09442087726262517
84,,0.08909003410528386
85,,0.08774141004187652
86,,0.08699412000075929
87,,0.08662969675864468
88,,0.08707149709433248
89,,0.08052342470205956
90,,0.06299698596924518
91,,0.04697049092170103
92,,0.04739718437407802
93,,0.04917944782406658
94,,0.04626949281988976
95,,0.05099433449143913
96,,0.05366928198447704
97,,0.053632883755465106
98,,0.0527718757662923
99,,0.050293288537697066
100,,0.05269257855942809
101,,0.05255134421267811
102,,0.05269382724558551
103,,0.057406590373445296
104,,0.06195409045866004
105,,0.06526694018372353
106,,0.0645446375989687
107,,0.05992043501367505
108,,0.05941877501123326
109,,0.055632252106054186
110,,0.053180565599541825
111,,0.055200332353169713
112,,0.057243593171878715
113,,0.059296899276319634
114,,0.06891914994729853
115,,0.06844473060180911
116,,0.06888945926903396
117,,0.07021397465920064
118,,0.07101104276983645
119,,0.06383287178254893
120,,0.06135544115756389
121,,0.058338020597062605
122,,0.04975246510896163
123,,0.04310425141002599
124,,0.043781259725462526
125,,0.044947838448412276
126,,0.04837833794668476
127,,0.06734098937383116
128,,0.08194820083540268
129,,0.08722643392687406
130,,0.0929358131811942
131,,0.10850854399795189
132,,0.13414106673954004
133,,0.1428259158025719
134,,0.15303059863422877
135,,0.16890631764805522
136,,0.19373990584791942
137,,0.20156094645093486
138,,0.20392177077461712
139,,0.20212287075863827
140,,0.20993939176914167
141,,0.2038341820858687
142,,0.21208995661060123
143,,0.2194102191674306
144,,0.21349449698586506
145,,0.21507302171625195
146,,0.22558137355625418
147,,0.26663454092333067
148,,0.2610315769208667
149,,0.2520304588043653
150,,0.24740193080717754
151,,0.25542013993778057
152,,0.23351715034177709
153,,0.21677449773343632
154,,0.21458568294575014
155,,0.17218906992005037
156,,0.1451656492387341
157,,0.1133545383542682
158,,0.12521560763193088
159,,0.11465124846686435
160,,0.10671344946793178
161,,0.09954228016242914
162,,0.1009570894503431
163,,0.10320684631507725
164,,0.10723224591057727
165,,0.11037366703314605
166,,0.10674287966928372
167,,0.0725132664331402
168,,0.08590817602913363
169,,0.06962710911448149
170,,0.07924696553585979
171,,0.08555404484689069
172,,0.08382971988035326
173,,0.08169871886428932
174,,0.07970185524575353
175,,0.07927048959352603
176,,0.05405301425050933
177,,0.07073170647588013
178,,0.08465273049483651
179,,0.07063064641385237
180,,0.06648086947893656
181,,0.0669890255013999
182,,0.06760989968009437
183,,0.06592858472569976
184,,0.06794731222306528
185,,0.06832881403190125
186,,0.08752996176870022
187,,0.12439800323825033
188,,0.13907957344373437
189,,0.14030638807712062
190,,0.07452647399520108
191,,0.0834135126494767
192,,0.09846785229125392
193,,0.11877224607575432
194,,0.14702267712318334
195,,0.15245527019308205
196,,0.16248502357745515
197,,0.1531174042415185
198,,0.1470915107263452
199,,0.14073663502529582
200,,0.13443331492516347
201,,0.1322663298111146
202,,0.15469055903802897
203,,0.1524410831601521
204,,0.14654533945183035
205,,0.15052205863810142
206,,0.15019139890729988
207,,0.16791108644491137
208,,0.16517671287271762
209,,0.16259255072918058
210,,0.1612414797994545
211,,0.13766282038108066
212,,0.11031053907920987
213,,0.10884132532793651
214,,0.10901475088025527
215,,0.109594383101761
216,,0.10512674010494885
217,,0.07950694678926369
