,FD03_flux,FD03_flux_filled
0,,-0.06149843393376053
1,,-0.05035181501216733
2,,-0.044636862572830054
3,,-0.051070823149433224
4,,-0.06319267695190214
5,,-0.07757710973734261
6,,-0.06366052449886048
7,,-0.06246901679890211
8,,-0.0825349243514194
9,,-0.0873531724935265
10,,-0.03939004477117921
11,,-0.0330105599995681
12,,-0.029530324442496668
13,,-0.028075326649131583
14,,-0.03257355856434985
15,,-0.0364848019571554
16,,-0.03641546357198874
17,,-0.02852827549944709
18,,-0.02675698596581352
19,,-0.044385115740785755
20,,-0.026826712165000023
21,,-0.02177185366134854
22,,-0.022408764443556217
23,,-0.038478538728391534
24,,-0.030794221826363776
25,,-0.020462397628730818
26,,-0.015459945470397484
27,,-0.015215227048405422
28,,-0.025394730805995372
29,,-0.009876004992197754
30,,-0.009187832174106613
31,,0.005150136024517076
32,,0.0010984561021639045
33,,-0.010551495560508727
34,,-0.009471327180265209
35,,0.003959274122814811
36,,-0.023880259387796268
37,,-0.03323378759207276
38,,-0.031942511155699765
39,,-0.033270969094310855
40,,-0.035098594425791024
41,,-0.029937509839899137
42,,-0.028737946968522145
43,,-0.014326140146609424
44,,-0.015570013579692758
45,,-0.019788851343250976
46,,-0.004643343377826369
47,,-0.0002639385387708107
48,,-0.009673880595036693
49,,-0.020733347534350192
50,,-0.02257779260644344
51,,-0.02859765769551353
52,,-0.0310773070498667
53,,-0.03455261097605451
54,,-0.0360700397648565
55,,-0.028395855986956993
56,,-0.034149854449808316
57,,-0.0073658566138857014
58,,0.010849504215349201
59,,-0.015326923596915364
60,,-0.009552604396611781
61,,-0.012923327248453043
62,,0.0035579458006322704
63,,0.0006692221691818688
64,,0.046641867587835326
65,,0.012314119610324081
66,,0.003666016073726848
67,,0.006614203236066805
68,,0.02335233645150926
69,,-0.01901916322537432
70,,-0.030543733181058883
71,,-0.03449471460158073
72,,0.03961837932913023
73,,0.09067039792184722
74,,0.07860841229397982
75,,0.059895812495747006
76,,0.010646010278760871
77,,-0.037736241262552254
78,,-0.04078473100051455
79,,-0.025854120678383614
80,,-0.018637129316828045
81,,-0.015389078120774466
82,,-0.0013093863779312176
83,,0.01011394392854364
84,,-0.0009080441266904715
85,,0.022271519233271156
86,,0.01247164952148676
87,,0.023902799595449074
88,,0.0326518674199054
89,,0.009193743445785042
90,,-0.049676752724096516
91,,-0.05332250171483077
92,,-0.03855527996703043
93,,-0.03681287385159458
94,,-0.027356667779277758
