,FD02_flux,FD02_flux_filled
0,,0.648921834559613
1,,0.38630354681853685
2,,0.38521734431992116
3,,0.6430132975452253
4,,0.6642760810704428
5,,0.6651194852921097
6,,0.6638835891830586
7,,0.6665648208103918
8,,0.6629125072647964
9,,0.6677603714690992
10,,0.6666125126998373
11,,0.6681192206940041
12,,0.6634952400862024
13,,0.6551920060605733
14,,0.6397574045809449
15,,0.6394510249153839
16,,0.36295025698645084
17,,0.273207137753127
18,,0.281127350382535
19,,0.26294261163241595
20,,0.2636221355056303
21,,0.21803845941680164
22,,0.27263768468317784
23,,0.23091980486929808
24,,0.2236768750168459
25,,0.22533438546660442
26,,0.21447093275929485
27,,0.2156691311805805
28,,0.20683089717783235
29,,0.21092018792898193
30,,0.1875154462276771
31,,0.14696779510925922
32,,0.11074486558469017
33,,0.09641737419646568
34,,0.1626670493421143
35,,0.18958051887789484
36,,0.21902454966628904
37,,0.2283625932868434
38,,0.22810051463040806
39,,0.28824727729748284
40,,0.2878321668070463
41,,0.285543330523094
42,,0.28511443995818925
43,,0.25616799913524035
44,,0.25298304330309757
45,,0.21496594423957044
46,,0.2131564551809258
47,,0.19213319313130925
48,,0.17640080237735006
49,,0.16932203959035008
50,,0.20206478005152453
51,,0.21146507678614687
52,,0.22469745983611628
53,,0.22288748512937823
54,,0.22111709811548938
55,,0.20593090692736024
56,,0.22255091708486113
57,,0.19386389201303145
58,,0.19535261863655526
59,,0.1889289032881913
60,,0.18723082502772884
61,,0.1847269632037424
62,,0.18211005795871946
63,,0.20199357226708547
64,,0.1951869759843508
65,,0.1849421097193902
66,,0.18238175062581874
67,,0.1953401903063317
68,,0.18610922550016912
69,,0.16951217238031202
70,,0.19179713318405764
71,,0.20803404978660028
72,,0.21504758109287578
73,,0.19052958487941302
74,,0.17862108369410365
75,,0.18449110968206614
76,,0.1746191507339297
77,,0.1731853932118635
78,,0.16400604852756084
79,,0.20662382788627748
80,,0.22069190884504042
81,,0.2249646938647479
82,,0.20535276481711126
83,,0.1801605831726879
84,,0.26466880909173934
85,,0.18973218079904147
86,,0.17914027920150055
87,,0.17259119747332957
88,,0.14767515345344182
89,,0.1412072531584213
90,,0.14238226830311743
91,,0.14315686582419
92,,0.1927341358143819
93,,0.21139398537088547
94,,0.19985356878009802
95,,0.1095519498102546
96,,0.10799348904415083
97,,0.12738313580418545
98,,0.14490925864089954
99,,0.13549974399987116
100,,0.13332292491610115
101,,0.13033649561569643
102,,0.12944144881108255
103,,0.08867280867900894
104,,0.1010470712011013
105,,0.09620249646159114
106,,0.09545513137639049
107,,0.10697022812866722
108,,0.12351726927837317
109,,0.1295579076461658
110,,0.13164466558753996
111,,0.12554883966936634
112,,0.07819411442893197
113,,0.11264575433652853
114,,0.12001344787696894
115,,0.21492627967398248
116,,0.17067888644547735
117,,0.17375033083448863
118,,0.05995821926380196
119,,0.026939206166571514
120,,0.05207770701335891
121,,0.06300150235742691
122,,0.06911726206691955
123,,0.059000380614977914
124,,0.06335584600811738
125,,0.05876107854920922
126,,0.05808663370053463
127,,0.06060943263201079
128,,0.05496429377644958
129,,0.05298963415237141
130,,0.05593913522085437
131,,0.0491317606859802
132,,0.08143423542175454
133,,0.06772116711142233
134,,0.06959303213310605
135,,0.06468352629390535
136,,0.045207967217052815
137,,0.04713509878804259
138,,0.04710154096971946
139,,0.041819721809644654
140,,0.0472296107020596
141,,0.04207000986902222
142,,0.05044009328450518
143,,0.059718180443593616
144,,0.08365742960521086
145,,0.08704915073918704
146,,0.08991635177587068
