,FD01_flux,FD01_flux_filled
0,,0.17099400876152507
1,,0.1418613878394771
2,,0.14134124642466037
3,,0.15380581381091038
4,,0.17878777403274973
5,,0.21417163553274995
6,,0.24841291835399995
7,,0.3515445880264994
8,,0.34885021105899966
9,,0.3490484982839996
10,,0.3538420908927493
11,,0.3540421160739994
12,,0.3663690450114993
13,,0.3552588876577493
14,,0.3721563111102492
15,,0.3589548088627492
16,,0.33324045596024976
17,,0.19993855859904436
18,,0.14898575029930247
19,,0.1402661177428076
20,,0.1361998313121825
21,,0.1668088933466565
22,,0.25370629752712537
23,,0.2902596460958752
24,,0.30447256099087516
25,,0.24436552965993766
26,,0.11048142539279042
27,,0.0879440889218624
28,,0.08006599513826869
29,,0.0662937107612355
30,,0.06647590969059448
31,,0.06411781213196063
32,,0.059563514158349415
33,,0.05825094756246308
34,,0.05313222022656621
35,,0.05979908097716545
36,,0.11568700052184788
37,,0.18606556365639584
38,,0.1930933201636874
39,,0.29172573169118793
40,,0.21863573490868757
41,,0.1594464386778896
42,,0.09617638531029035
43,,0.06912554135529039
44,,0.07723598534316438
45,,0.06743793078479991
46,,0.07131877490729986
47,,0.07938752900356306
48,,0.07699237990895567
49,,0.05689249445496435
50,,0.07088863941385118
51,,0.07408932883403328
52,,0.07041497823367622
53,,0.08652115745666228
54,,0.0730027679187257
55,,0.09788109958705923
56,,0.10864480041098887
57,,0.12625991418414234
58,,0.13059169229165582
59,,0.14362290414657575
60,,0.14625278249966336
61,,0.12394719076022893
62,,0.1425222992610077
63,,0.14157364805670644
64,,0.07704268793650317
65,,0.0633992331212098
66,,0.04261493306527758
67,,0.04787849396875214
68,,0.05204636996333888
69,,0.04312523852705697
70,,0.05187281335598734
71,,0.011567098881345671
72,,-0.005345887703891721
73,,-0.00512037646214421
74,,-0.026345498785885334
75,,-0.05310784886302148
76,,-0.08640960029927525
77,,-0.08291170043308674
78,,-0.06772493273379933
79,,-0.061533058752355874
80,,-0.07311118888688928
81,,-0.06516716233204146
82,,-0.08463071378232159
83,,-0.09706760025563471
84,,-0.09953196986029499
85,,-0.10702762872950805
86,,-0.050030027552464836
87,,-0.020233592297285684
88,,-0.026893982477931032
89,,0.016599744757593616
90,,0.030278307560781637
91,,0.08894431258052132
92,,0.10589928774603058
93,,0.2125971698662108
94,,0.2387688030850148
95,,0.2178311403238441
96,,0.27124770465306064
97,,0.28975658754222233
98,,0.26774007171260306
99,,0.21318398107442119
